date,O3,NO,NO2,NOXasNO2,wd,ws,temp,site,code,latitude,longitude,location_type,Ox,NOx
2015-01-01 00:00:00,54.41609,0.58207,7.07434,7.96684,203.7,7.7,6.3,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,28.839071333333333,3.8795082666666665
2015-01-01 01:00:00,58.14139,0.24946,4.92851,5.31101,221.3,8.7,7.3,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,29.532618753623186,2.586233553623188
2015-01-01 02:00:00,55.82971,0.56129,5.69782,6.55844,220.7,7.8,8.1,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,28.828455275362316,3.193687142028985
2015-01-01 03:00:00,53.58455,0.5616,5.84221,6.70331,223.6,8.5,8.7,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,27.851025594202895,3.264230260869565
2015-01-01 04:00:00,54.13336,0.49923,4.52976,5.29523,221.9,9.2,9.3,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,27.46803084057971,2.578554573913043
2015-01-01 05:00:00,52.28734,0.59278,5.06621,5.97513,215.9,8.7,8.7,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,26.867782666666663,2.9096330666666663
2015-01-01 06:00:00,54.5325,0.56129,5.50322,6.36384,217.6,9.1,8.9,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,28.128328869565212,3.09892540289855
2015-01-01 07:00:00,54.63229,0.5301,6.27969,7.09251,216.4,10.7,9.2,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,28.553004666666666,3.453744
2015-01-01 08:00:00,53.2353,0.46774,6.37484,7.09203,219.6,11.0,9.5,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,27.94740991304348,3.453515779710145
2015-01-01 09:00:00,55.8796,0.71813,5.89433,6.99545,217.3,11.6,10.1,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,28.947429101449277,3.4064861681159426
2015-01-01 10:00:00,61.06842,0.43656,4.48003,5.14941,211.4,11.3,10.3,Manchester South,MAN4,53.369026,-2.24328,Suburban Industrial,30.68017582608696,2.5075446260869563
